"filename", "language", "HTML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\luxurypluxury\Desktop\wedding\client\index.html", "HTML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\luxurypluxury\Desktop\wedding\client\package-lock.json", "JSON", 0, 0, 2598, 0, 0, 0, 0, 0, 0, 1, 2599
"c:\Users\luxurypluxury\Desktop\wedding\client\package.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\luxurypluxury\Desktop\wedding\client\src\@types\declaration.d.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 7, 30
"c:\Users\luxurypluxury\Desktop\wedding\client\src\API\dressesService.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 1, 6, 22
"c:\Users\luxurypluxury\Desktop\wedding\client\src\API\userService.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 1, 5, 23
"c:\Users\luxurypluxury\Desktop\wedding\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 4, 10, 48
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\alert-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\arrow-dropdown.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\arrow-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\arrow-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\card.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\cart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\check.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\dislike.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\filter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\flag-UA.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\frorex-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\grid-plates.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\heart-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\heart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\house.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\like.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\logout.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\minus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\reviews.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\socials\app-store.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 28
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\socials\facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\socials\google-play.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 77, 0, 1, 78
"c:\Users\luxurypluxury\Desktop\wedding\client\src\assets\icons\socials\instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
